iid,id,gender,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,age,field,race,from
5,5,0,5,9,9,7,9,5,5,21,Law,2,Bowdoin College
5,5,0,5,8,7,7,7,7,6,21,Law,2,Bowdoin College
5,5,0,2,3,4,4,5,3,3,21,Law,2,Bowdoin College
5,5,0,5,5,6,5,5,5,6,21,Law,2,Bowdoin College
5,5,0,5,9,9,9,9,6,7,21,Law,2,Bowdoin College
5,5,0,3,10,7,7,10,5,4,21,Law,2,Bowdoin College
6,6,0,7,9,8,9,8,4,7,23,law,4,MD
6,6,0,6,8,10,6,7,6,7,23,law,4,MD
6,6,0,10,10,10,10,10,10,10,23,law,4,MD
6,6,0,6,8,8,7,9,8,7,23,law,4,MD
6,6,0,9,7,9,7,9,6,9,23,law,4,MD
6,6,0,6,6,8,8,8,7,6,23,law,4,MD
6,6,0,5,6,8,4,5,4,3,23,law,4,MD
6,6,0,6,7,8,7,8,5,7,23,law,4,MD
6,6,0,6,7,7,6,6,6,6,23,law,4,MD
6,6,0,7,10,10,6,10,7,6,23,law,4,MD
7,7,0,7,8,8,8,7,7,7,22,Law,4,Southern California
7,7,0,7,9,10,6,6,5,8,22,Law,4,Southern California
7,7,0,10,10,10,10,10,10,10,22,Law,4,Southern California
7,7,0,8,8,9,8,9,9,8,22,Law,4,Southern California
7,7,0,8,7,9,6,9,5,8,22,Law,4,Southern California
7,7,0,8,8,8,6,6,6,7,22,Law,4,Southern California
7,7,0,7,6,5,4,4,3,5,22,Law,4,Southern California
7,7,0,8,7,6,7,7,5,7,22,Law,4,Southern California
7,7,0,9,7,9,9,9,10,9,22,Law,4,Southern California
7,7,0,7,6,8,6,8,7,7,22,Law,4,Southern California
8,8,0,8,7,6,6,6,5,7,25,Masters in Public Administration,2,"London, England"
8,8,0,8,8,10,7,6,5,9,25,Masters in Public Administration,2,"London, England"
8,8,0,10,10,10,10,10,10,10,25,Masters in Public Administration,2,"London, England"
8,8,0,8,8,8,8,8,7,8,25,Masters in Public Administration,2,"London, England"
8,8,0,9,9,8,9,,7,9,25,Masters in Public Administration,2,"London, England"
8,8,0,8,7,7,7,8,7,7,25,Masters in Public Administration,2,"London, England"
8,8,0,6,4,7,5,6,4,4,25,Masters in Public Administration,2,"London, England"
8,8,0,9,8,8,8,7,5,7,25,Masters in Public Administration,2,"London, England"
8,8,0,8,7,8,10,8,10,8,25,Masters in Public Administration,2,"London, England"
8,8,0,8,10,9,9,8,8,8,25,Masters in Public Administration,2,"London, England"
9,9,0,6,8,7,8,7,5,6,26,Masters in Public Administration,6,"Palm Springs, California"
9,9,0,8,8,10,7,6,5,8,26,Masters in Public Administration,6,"Palm Springs, California"
9,9,0,10,10,10,10,10,10,10,26,Masters in Public Administration,6,"Palm Springs, California"
9,9,0,7,8,7,8,8,7,7,26,Masters in Public Administration,6,"Palm Springs, California"
9,9,0,7,9,8,9,7,7,7,26,Masters in Public Administration,6,"Palm Springs, California"
9,9,0,6,6,7,8,7,7,6,26,Masters in Public Administration,6,"Palm Springs, California"
9,9,0,8,6,7,8,6,5,8,26,Masters in Public Administration,6,"Palm Springs, California"
9,9,0,7,7,7,7,6,5,7,26,Masters in Public Administration,6,"Palm Springs, California"
9,9,0,6,6,6,7,6,6,6,26,Masters in Public Administration,6,"Palm Springs, California"
9,9,0,5,6,6,6,6,6,6,26,Masters in Public Administration,6,"Palm Springs, California"
10,10,0,7,8,7,8,6,5,6,26,Masters of Social Work&Education,2,94115
10,10,0,1,1,1,1,1,1,1,26,Masters of Social Work&Education,2,94115
10,10,0,10,10,10,10,10,10,10,26,Masters of Social Work&Education,2,94115
10,10,0,7,8,7,9,8,8,7,26,Masters of Social Work&Education,2,94115
10,10,0,6,9,9,7,8,,6,26,Masters of Social Work&Education,2,94115
10,10,0,,8,7,7,7,7,6,26,Masters of Social Work&Education,2,94115
10,10,0,7,7,4,3,4,4,3,26,Masters of Social Work&Education,2,94115
10,10,0,6,6,6,6,6,5,7,26,Masters of Social Work&Education,2,94115
10,10,0,7,7,7,7,6,6,7,26,Masters of Social Work&Education,2,94115
10,10,0,6,6,6,6,6,6,7,26,Masters of Social Work&Education,2,94115
11,1,1,6,9,7,7,6,5,7,27,Finance,2,Argentina
11,1,1,5,7,8,4,6,3,6,27,Finance,2,Argentina
11,1,1,7,9,10,7,8,9,8,27,Finance,2,Argentina
11,1,1,4,10,8,5,8,7,6,27,Finance,2,Argentina
11,1,1,5,8,8,2,2,2,7,27,Finance,2,Argentina
11,1,1,6,9,7,6,7,6,6,27,Finance,2,Argentina
11,1,1,4,8,8,5,7,4,7,27,Finance,2,Argentina
11,1,1,5,8,7,4,7,5,4,27,Finance,2,Argentina
11,1,1,8,10,9,8,7,6,5,27,Finance,2,Argentina
11,1,1,6,10,10,6,6,,6,27,Finance,2,Argentina
12,2,1,7,8,7,8,5,6,7,22,Law,2,England
12,2,1,8,5,6,6,9,6,7,22,Law,2,England
12,2,1,9,7,9,8,9,7,8,22,Law,2,England
12,2,1,8,7,8,10,7,8,8,22,Law,2,England
12,2,1,8,6,6,5,5,5,6,22,Law,2,England
12,2,1,6,9,9,6,8,2,7,22,Law,2,England
12,2,1,6,6,8,4,9,4,7,22,Law,2,England
12,2,1,8,7,7,9,6,7,8,22,Law,2,England
12,2,1,10,10,10,10,10,10,10,22,Law,2,England
12,2,1,1,1,1,1,1,,1,22,Law,2,England
13,3,1,5,8,9,8,5,7,7,22,Law,4,Southern California
13,3,1,5,8,9,6,3,4,6,22,Law,4,Southern California
13,3,1,7,9,9,7,9,7,8,22,Law,4,Southern California
13,3,1,4,7,8,8,6,7,4,22,Law,4,Southern California
13,3,1,4,6,8,8,6,5,6,22,Law,4,Southern California
13,3,1,4,7,9,4,3,2,6,22,Law,4,Southern California
13,3,1,3,6,8,7,8,8,7,22,Law,4,Southern California
13,3,1,5,8,8,6,7,7,5,22,Law,4,Southern California
13,3,1,5,10,10,6,6,6,8,22,Law,4,Southern California
13,3,1,6,10,10,10,6,,7,22,Law,4,Southern California
14,4,1,7,6,8,7,6,8,7,23,Law,2,"Cincinnati, Ohio"
14,4,1,7,9,7,6,5,7,7,23,Law,2,"Cincinnati, Ohio"
14,4,1,9,7,9,7,9,7,8,23,Law,2,"Cincinnati, Ohio"
14,4,1,8,10,7,10,7,10,8,23,Law,2,"Cincinnati, Ohio"
14,4,1,8,5,5,7,7,9,8,23,Law,2,"Cincinnati, Ohio"
14,4,1,8,6,7,8,2,8,9,23,Law,2,"Cincinnati, Ohio"
14,4,1,7,8,8,7,7,6,8,23,Law,2,"Cincinnati, Ohio"
14,4,1,8,6,5,6,6,5,5,23,Law,2,"Cincinnati, Ohio"
14,4,1,10,9,8,8,7,7,7,23,Law,2,"Cincinnati, Ohio"
14,4,1,10,10,10,10,10,,10,23,Law,2,"Cincinnati, Ohio"
15,5,1,5,6,7,7,6,6,6,24,Law,3,Miami
15,5,1,6,8,7,9,7,8,8,24,Law,3,Miami
15,5,1,9,10,10,10,10,10,9,24,Law,3,Miami
15,5,1,6,9,8,9,8,9,7,24,Law,3,Miami
15,5,1,6,7,7,5,4,8,7,24,Law,3,Miami
15,5,1,5,4,8,8,4,2,4,24,Law,3,Miami
15,5,1,4,7,7,4,8,5,5,24,Law,3,Miami
15,5,1,6,8,8,5,6,7,6,24,Law,3,Miami
15,5,1,5,10,8,8,5,5,5,24,Law,3,Miami
15,5,1,5,7,7,7,7,,6,24,Law,3,Miami
16,6,1,4,9,7,4,6,4,6,25,Business,2,Milan - Italy
16,6,1,8,7,8,3,6,2,6,25,Business,2,Milan - Italy
16,6,1,8,10,10,7,9,9,8,25,Business,2,Milan - Italy
16,6,1,5,10,8,4,8,2,4,25,Business,2,Milan - Italy
16,6,1,5,6,7,5,7,8,7,25,Business,2,Milan - Italy
16,6,1,3,7,6,1,1,1,2,25,Business,2,Milan - Italy
16,6,1,4,8,7,4,5,4,5,25,Business,2,Milan - Italy
16,6,1,6,8,8,5,6,7,6,25,Business,2,Milan - Italy
16,6,1,8,9,9,7,6,5,6,25,Business,2,Milan - Italy
16,6,1,5,10,6,4,6,,6,25,Business,2,Milan - Italy
17,7,1,7,6,7,4,6,7,6,30,political science,2,"Georgia, USA"
17,7,1,7,5,9,6,7,9,8,30,political science,2,"Georgia, USA"
17,7,1,8,9,10,7,7,9,8,30,political science,2,"Georgia, USA"
17,7,1,7,10,10,7,10,5,5,30,political science,2,"Georgia, USA"
17,7,1,6,6,8,5,5,6,6,30,political science,2,"Georgia, USA"
17,7,1,8,8,8,8,3,4,8,30,political science,2,"Georgia, USA"
17,7,1,7,7,8,7,7,7,8,30,political science,2,"Georgia, USA"
17,7,1,6,7,8,5,7,7,6,30,political science,2,"Georgia, USA"
17,7,1,6,8,9,6,6,6,7,30,political science,2,"Georgia, USA"
17,7,1,5,10,8,6,9,,7,30,political science,2,"Georgia, USA"
18,8,1,4,9,7,6,5,6,6,27,Business,2,New York
18,8,1,5,8,7,5,9,5,5,27,Business,2,New York
18,8,1,7,9,9,8,9,7,8,27,Business,2,New York
18,8,1,5,9,9,5,9,7,6,27,Business,2,New York
18,8,1,5,5,7,6,7,5,6,27,Business,2,New York
18,8,1,4,8,9,2,8,3,5,27,Business,2,New York
18,8,1,5,7,8,5,9,5,5,27,Business,2,New York
18,8,1,5,6,7,4,5,6,5,27,Business,2,New York
18,8,1,6,7,8,7,9,6,7,27,Business,2,New York
18,8,1,5,6,6,4,5,,5,27,Business,2,New York
19,9,1,7,6,8,9,8,8,7,28,money,2,california
19,9,1,7,6,8,9,4,5,5,28,money,2,california
19,9,1,9,9,9,9,9,9,9,28,money,2,california
19,9,1,9,8,10,10,7,8,8,28,money,2,california
19,9,1,7,5,7,8,7,9,9,28,money,2,california
19,9,1,7,6,8,8,6,9,9,28,money,2,california
19,9,1,6,6,8,8,8,6,6,28,money,2,california
19,9,1,8,8,5,9,8,9,7,28,money,2,california
19,9,1,8,5,5,6,5,5,7,28,money,2,california
19,9,1,9,9,9,9,9,9,9,28,money,2,california
20,10,1,5,6,6,8,10,8,6,24,Finance,2,Washington DC
20,10,1,6,7,8,7,9,8,8,24,Finance,2,Washington DC
20,10,1,8,7,9,7,9,7,8,24,Finance,2,Washington DC
20,10,1,8,9,10,10,8,8,10,24,Finance,2,Washington DC
20,10,1,9,6,7,9,6,5,10,24,Finance,2,Washington DC
20,10,1,8,9,9,9,10,7,9,24,Finance,2,Washington DC
20,10,1,8,6,7,7,8,6,7,24,Finance,2,Washington DC
20,10,1,7,6,8,7,9,8,8,24,Finance,2,Washington DC
20,10,1,7,8,7,8,7,8,8,24,Finance,2,Washington DC
20,10,1,9,9,8,10,8,8,9,24,Finance,2,Washington DC
21,1,0,3,10,10,6,4,7,4,21,Operations Research,4,New Jersey
21,1,0,5,5,5,5,5,,5,21,Operations Research,4,New Jersey
21,1,0,3,10,9,5,9,2,6,21,Operations Research,4,New Jersey
21,1,0,4,5,6,4,6,2,5,21,Operations Research,4,New Jersey
21,1,0,6,7,8,6,7,7,8,21,Operations Research,4,New Jersey
21,1,0,7,8,8,7,9,6,7,21,Operations Research,4,New Jersey
21,1,0,6,7,10,8,9,8,8,21,Operations Research,4,New Jersey
21,1,0,9,5,6,5,5,7,5,21,Operations Research,4,New Jersey
21,1,0,3,8,5,5,8,3,4,21,Operations Research,4,New Jersey
21,1,0,6,7,8,4,6,4,6,21,Operations Research,4,New Jersey
21,1,0,5,8,8,,,,7,21,Operations Research,4,New Jersey
21,1,0,2,8,8,3,2,2,5,21,Operations Research,4,New Jersey
21,1,0,6,6,8,6,7,6,6,21,Operations Research,4,New Jersey
21,1,0,6,8,8,7,7,6,7,21,Operations Research,4,New Jersey
21,1,0,5,7,7,7,7,5,5,21,Operations Research,4,New Jersey
21,1,0,5,8,10,7,9,5,6,21,Operations Research,4,New Jersey
22,2,0,4,10,8,8,6,4,3,27,TC (Health Ed),1,"Ann Arbor, MI"
22,2,0,5,5,5,5,5,,5,27,TC (Health Ed),1,"Ann Arbor, MI"
22,2,0,3,6,8,5,5,1,2,27,TC (Health Ed),1,"Ann Arbor, MI"
22,2,0,4,5,5,3,5,1,5,27,TC (Health Ed),1,"Ann Arbor, MI"
22,2,0,6,7,6,6,8,5,6,27,TC (Health Ed),1,"Ann Arbor, MI"
22,2,0,7,7,7,5,6,5,6,27,TC (Health Ed),1,"Ann Arbor, MI"
22,2,0,5,8,5,5,6,5,5,27,TC (Health Ed),1,"Ann Arbor, MI"
22,2,0,,5,6,5,6,3,4,27,TC (Health Ed),1,"Ann Arbor, MI"
22,2,0,4,6,6,5,,3,5,27,TC (Health Ed),1,"Ann Arbor, MI"
22,2,0,7,8,7,7,7,,7,27,TC (Health Ed),1,"Ann Arbor, MI"
22,2,0,6,8,7,6,,,7,27,TC (Health Ed),1,"Ann Arbor, MI"
22,2,0,2,2,3,2,2,1,2,27,TC (Health Ed),1,"Ann Arbor, MI"
22,2,0,4,6,7,6,5,5,4,27,TC (Health Ed),1,"Ann Arbor, MI"
22,2,0,6,8,8,7,8,6,7,27,TC (Health Ed),1,"Ann Arbor, MI"
22,2,0,4,7,7,6,6,5,6,27,TC (Health Ed),1,"Ann Arbor, MI"
22,2,0,5,8,9,7,10,8,7,27,TC (Health Ed),1,"Ann Arbor, MI"
23,3,0,5,4,3,7,4,3,1,21,Psychology,4,Hong Kong
23,3,0,8,8,8,8,8,,5,21,Psychology,4,Hong Kong
23,3,0,6,10,9,8,9,,8,21,Psychology,4,Hong Kong
23,3,0,4,6,5,4,3,2,6,21,Psychology,4,Hong Kong
23,3,0,8,8,8,10,7,8,8,21,Psychology,4,Hong Kong
23,3,0,7,8,7,6,6,6,7,21,Psychology,4,Hong Kong
23,3,0,6,8,9,8,8,9,8,21,Psychology,4,Hong Kong
23,3,0,5,6,6,4,7,4,6,21,Psychology,4,Hong Kong
23,3,0,4,6,6,4,3,3,3,21,Psychology,4,Hong Kong
23,3,0,7,8,8,6,7,3,6,21,Psychology,4,Hong Kong
23,3,0,5,,7,6,,,7,21,Psychology,4,Hong Kong
23,3,0,4,6,4,1,1,1,2,21,Psychology,4,Hong Kong
23,3,0,7,7,6,6,6,5,5,21,Psychology,4,Hong Kong
23,3,0,7,8,8,7,8,6,7,21,Psychology,4,Hong Kong
23,3,0,6,7,7,7,9,7,7,21,Psychology,4,Hong Kong
23,3,0,6,9,10,8,10,7,7,21,Psychology,4,Hong Kong
24,4,0,5,10,9,9,8,5,2,27,social work,2,new york
24,4,0,5,5,5,5,5,,5,27,social work,2,new york
24,4,0,7,6,7,9,8,2,3,27,social work,2,new york
24,4,0,5,5,6,4,7,2,5,27,social work,2,new york
24,4,0,5,7,8,7,8,8,8,27,social work,2,new york
24,4,0,6,6,6,6,5,5,5,27,social work,2,new york
24,4,0,7,8,8,8,7,9,8,27,social work,2,new york
24,4,0,6,6,6,5,6,4,6,27,social work,2,new york
24,4,0,6,8,8,5,,3,5,27,social work,2,new york
24,4,0,7,7,6,5,6,7,7,27,social work,2,new york
24,4,0,7,,,9,,,8.5,27,social work,2,new york
24,4,0,7,5,7,6,6,6,6,27,social work,2,new york
24,4,0,7,7,9,5,6,2,4,27,social work,2,new york
24,4,0,8,8,8,8,7,7,7,27,social work,2,new york
24,4,0,8,7,8,7,7,8,7,27,social work,2,new york
24,4,0,8,9,9,8,8,6,8,27,social work,2,new york
25,5,0,8,10,9,9,8,4,3,25,Social Work,2,Iowa
25,5,0,5,5,5,5,5,,5,25,Social Work,2,Iowa
25,5,0,8,9,7,7,5,,8,25,Social Work,2,Iowa
25,5,0,8,5,6,6,5,1,6,25,Social Work,2,Iowa
25,5,0,7,6,6,7,5,4,7,25,Social Work,2,Iowa
25,5,0,7,6,6,7,6,6,7,25,Social Work,2,Iowa
25,5,0,10,8,7,8,7,8,9.5,25,Social Work,2,Iowa
25,5,0,6,7,5,5,5,2,6,25,Social Work,2,Iowa
25,5,0,9,8,7,8,,5,8,25,Social Work,2,Iowa
25,5,0,9,8,7,8,6,5,8,25,Social Work,2,Iowa
25,5,0,7,,,,,,8,25,Social Work,2,Iowa
25,5,0,6,4,7,6,2,2,3,25,Social Work,2,Iowa
25,5,0,8,7,7,7,6,6,7,25,Social Work,2,Iowa
25,5,0,9,8,8,8,8,7,8,25,Social Work,2,Iowa
25,5,0,8,9,9,9,7,5,7,25,Social Work,2,Iowa
25,5,0,8,9,8,10,9,8,9,25,Social Work,2,Iowa
26,6,0,8,9,9,8,7,4,3,23,Social Work,2,California
26,6,0,5,5,5,5,5,,5,23,Social Work,2,California
26,6,0,7,8,8,9,8,,7,23,Social Work,2,California
26,6,0,6,5,7,5,5,2,5,23,Social Work,2,California
26,6,0,8,7,7,8,7,7,9,23,Social Work,2,California
26,6,0,7,6,8,7,6,7,8,23,Social Work,2,California
26,6,0,10,9,9,10,7,8,9.5,23,Social Work,2,California
26,6,0,5,6,6,6,6,6,6,23,Social Work,2,California
26,6,0,9,8,7,9,,8,9,23,Social Work,2,California
26,6,0,9,8,7,7,7,8,8,23,Social Work,2,California
26,6,0,8,,,,,,8,23,Social Work,2,California
26,6,0,7,3,5,5,3,2,6,23,Social Work,2,California
26,6,0,8,7,7,7,6,6,7,23,Social Work,2,California
26,6,0,9,9,9,9,8,8,8,23,Social Work,2,California
26,6,0,8,8,7,8,7,6,7,23,Social Work,2,California
26,6,0,8,9,8,9,9,8,9,23,Social Work,2,California
27,7,0,9,8,6,8,7,5,5,22,Speech Language Pathology,3,"Westchester, NY"
27,7,0,8,8,8,8,8,,8,22,Speech Language Pathology,3,"Westchester, NY"
27,7,0,8,9,8,9,8,,9,22,Speech Language Pathology,3,"Westchester, NY"
27,7,0,7,6,5,7,3,5,6,22,Speech Language Pathology,3,"Westchester, NY"
27,7,0,9,7,7,7,6,5,7,22,Speech Language Pathology,3,"Westchester, NY"
27,7,0,8,8,7,8,6,7,8,22,Speech Language Pathology,3,"Westchester, NY"
27,7,0,9,8,8,8,7,9,9.5,22,Speech Language Pathology,3,"Westchester, NY"
27,7,0,7,5,6,6,4,5,7,22,Speech Language Pathology,3,"Westchester, NY"
27,7,0,8,8,5,6,,7,7,22,Speech Language Pathology,3,"Westchester, NY"
27,7,0,8,8,7,7,7,0,7,22,Speech Language Pathology,3,"Westchester, NY"
27,7,0,8,,,7,,6,8,22,Speech Language Pathology,3,"Westchester, NY"
27,7,0,8,4,4,7,5,3,6,22,Speech Language Pathology,3,"Westchester, NY"
27,7,0,8,7,7,6,6,7,7,22,Speech Language Pathology,3,"Westchester, NY"
27,7,0,8,8,8,8,8,7,8,22,Speech Language Pathology,3,"Westchester, NY"
27,7,0,9,9,8,9,8,7,8,22,Speech Language Pathology,3,"Westchester, NY"
27,7,0,9,8,9,10,9,8,10,22,Speech Language Pathology,3,"Westchester, NY"
28,8,0,8,8,7,8,7,3,6,26,Speech Languahe Pathology,2,
28,8,0,8,8,8,8,8,8,5,26,Speech Languahe Pathology,2,
28,8,0,7,10,9,8,9,,8,26,Speech Languahe Pathology,2,
28,8,0,5,6,6,4,7,6,5,26,Speech Languahe Pathology,2,
28,8,0,5,5,5,5,6,5,5,26,Speech Languahe Pathology,2,
28,8,0,7,7,7,6,6,6,8,26,Speech Languahe Pathology,2,
28,8,0,7,7,7,7,7,9,8,26,Speech Languahe Pathology,2,
28,8,0,5,6,7,5,7,5,7,26,Speech Languahe Pathology,2,
28,8,0,7,8,5,6,3,3,5,26,Speech Languahe Pathology,2,
28,8,0,7,8,8,7,6,,7,26,Speech Languahe Pathology,2,
28,8,0,6,8,8,7,8,5,7,26,Speech Languahe Pathology,2,
28,8,0,6,7,7,3,2,1,5,26,Speech Languahe Pathology,2,
28,8,0,5,6,7,5,6,5,5,26,Speech Languahe Pathology,2,
28,8,0,7,8,8,7,8,7,7,26,Speech Languahe Pathology,2,
28,8,0,7,8,7,7,7,7,7,26,Speech Languahe Pathology,2,
28,8,0,9,9,10,9,9,9,10,26,Speech Languahe Pathology,2,
29,9,0,5,6,3,4,3,3,1,22,Social Work,2,"Washington, DC"
29,9,0,8,8,8,8,8,,8,22,Social Work,2,"Washington, DC"
29,9,0,3,8,7,5,8,,4,22,Social Work,2,"Washington, DC"
29,9,0,4,4,5,4,6,5,5,22,Social Work,2,"Washington, DC"
29,9,0,7,6,7,6,7,5,7,22,Social Work,2,"Washington, DC"
29,9,0,8,8,6,7,6,6,7,22,Social Work,2,"Washington, DC"
29,9,0,6,7,6,8,7,7,7,22,Social Work,2,"Washington, DC"
29,9,0,5,6,5,6,7,2,6,22,Social Work,2,"Washington, DC"
29,9,0,6,8,9,5,9,3,5,22,Social Work,2,"Washington, DC"
29,9,0,7,8,8,7,6,5,7,22,Social Work,2,"Washington, DC"
29,9,0,6,,,,,,7,22,Social Work,2,"Washington, DC"
29,9,0,5,8,5,3,3,3,6,22,Social Work,2,"Washington, DC"
29,9,0,5,7,6,7,5,5,5,22,Social Work,2,"Washington, DC"
29,9,0,6,8,8,7,7,6,7,22,Social Work,2,"Washington, DC"
29,9,0,5,8,7,7,7,5,6,22,Social Work,2,"Washington, DC"
29,9,0,6,8,8,8,9,6,7,22,Social Work,2,"Washington, DC"
30,10,0,6,6,8,7,8,4,2,23,Law,2,Boston
30,10,0,10,10,10,10,10,,7,23,Law,2,Boston
30,10,0,4,7,7,6,6,,6,23,Law,2,Boston
30,10,0,3,4,7,3,7,1,3,23,Law,2,Boston
30,10,0,7,7,7,7,6,7,8,23,Law,2,Boston
30,10,0,6,6,6,6,6,5,6,23,Law,2,Boston
30,10,0,6,8,8,9,8,6,7,23,Law,2,Boston
30,10,0,9,5,6,3,6,3,6,23,Law,2,Boston
30,10,0,5,6,5,4,,3,4,23,Law,2,Boston
30,10,0,7,7,7,7,7,,7,23,Law,2,Boston
30,10,0,6,,,,,,,23,Law,2,Boston
30,10,0,3,5,6,2,6,4,4,23,Law,2,Boston
30,10,0,6,7,7,6,6,4,5,23,Law,2,Boston
30,10,0,6,8,8,7,8,6,7,23,Law,2,Boston
30,10,0,6,8,8,7,8,6,6,23,Law,2,Boston
30,10,0,7,9,10,10,10,10,8,23,Law,2,Boston
31,11,0,7,5,4,4,8,3,2,24,law,2,"Washington, DC"
31,11,0,8,8,8,8,8,,8,24,law,2,"Washington, DC"
31,11,0,8,7,8,2,9,,4,24,law,2,"Washington, DC"
31,11,0,6,6,6,6,5,3,6,24,law,2,"Washington, DC"
31,11,0,9,7,7,6,7,7,9,24,law,2,"Washington, DC"
31,11,0,9,8,8,7,8,6,8,24,law,2,"Washington, DC"
31,11,0,9,6,7,6,7,8,8,24,law,2,"Washington, DC"
31,11,0,7,6,6,5,7,5,6,24,law,2,"Washington, DC"
31,11,0,7,7,7,8,,,8,24,law,2,"Washington, DC"
31,11,0,9,7,8,8,9,,8,24,law,2,"Washington, DC"
31,11,0,8,8,8,8,8,,7,24,law,2,"Washington, DC"
31,11,0,7,7,7,4,5,5,6,24,law,2,"Washington, DC"
31,11,0,8,8,8,6,7,5,7,24,law,2,"Washington, DC"
31,11,0,8,8,9,8,9,7,8,24,law,2,"Washington, DC"
31,11,0,8,8,8,8,7,7,7,24,law,2,"Washington, DC"
31,11,0,8,10,10,10,10,8,10,24,law,2,"Washington, DC"
32,12,0,8,10,10,7,8,4,5,27,Psychology,4,new jersey
32,12,0,10,10,10,10,10,,8,27,Psychology,4,new jersey
32,12,0,5,9,10,8,10,4,5,27,Psychology,4,new jersey
32,12,0,5,6,7,4,4,3,6,27,Psychology,4,new jersey
32,12,0,7,6,6,7,7,8,9,27,Psychology,4,new jersey
32,12,0,9,8,8,8,8,7,7,27,Psychology,4,new jersey
32,12,0,8,9,8,7,10,7,8,27,Psychology,4,new jersey
32,12,0,5,7,7,6,5,5,6,27,Psychology,4,new jersey
32,12,0,5,6,8,5,8,3,4,27,Psychology,4,new jersey
32,12,0,7,7,8,7,7,6,6,27,Psychology,4,new jersey
32,12,0,,,,,,,7,27,Psychology,4,new jersey
32,12,0,8,7,7,9,5,4,8,27,Psychology,4,new jersey
32,12,0,6,7,7,7,6,5,7,27,Psychology,4,new jersey
32,12,0,8,9,9,8,9,7,7,27,Psychology,4,new jersey
32,12,0,7,8,8,7,8,6,7,27,Psychology,4,new jersey
32,12,0,6,8,10,8,7,7,8,27,Psychology,4,new jersey
33,13,0,6,10,10,8,5,3,6,30,Educational Psychology,2,Michigan
33,13,0,10,10,10,10,10,,8,30,Educational Psychology,2,Michigan
33,13,0,6,10,10,8,10,6,6,30,Educational Psychology,2,Michigan
33,13,0,4,4,7,3,6,4,4,30,Educational Psychology,2,Michigan
33,13,0,6,7,7,6,6,8,6,30,Educational Psychology,2,Michigan
33,13,0,6,5,7,5,7,5,6,30,Educational Psychology,2,Michigan
33,13,0,6,8,7,8,8,8,7,30,Educational Psychology,2,Michigan
